ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Lowndes Nazarene Church,Nazarene Church,74,784,288,2,1148
Lowndes Mathis Auditorium ,Mathis Auditorium ,187,1484,495,0,2166
Lowndes Jaycee Community Center,Jaycee Community Center,38,436,133,2,609
Lowndes Lowndes Civic,Lowndes Civic,144,1606,523,22,2295
Lowndes Naylor Community Center,Naylor Community Center,13,156,100,0,269
Lowndes Rainwater,Rainwater,236,2082,731,10,3059
Lowndes VSU,VSU,1,17,30,0,48
Lowndes Mt. Calvary Church,Mt. Calvary Church,42,313,129,3,487
Lowndes Mildred Community Center,Mildred Community Center,94,478,275,1,848
Lowndes Paper Mill Union,Paper Mill Union,38,184,132,2,356
Lowndes Dasher City Hall,Dasher City Hall,20,124,75,0,219
Lowndes Lake Park,Lake Park,46,205,143,2,396
Lowndes South Lowndes Recreation Center,South Lowndes Recreation Center,26,104,60,0,190
Lumpkin Dahlonega,Dahlonega,264,1720,555,0,2539
Macon Ideal,Ideal,27,217,92,0,336
Macon Oglethorpe,Oglethorpe,34,287,87,0,408
Macon Marshallville,Marshallville,35,158,258,0,451
Macon Montezuma #4,Montezuma #4,47,322,180,0,549
