ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Spalding 17,17,16,273,273,0,562
Spalding 19,19,54,543,482,0,1079
Spalding 20,20,26,500,527,1,1054
Spalding 21,21,157,1533,547,0,2237
Stephens Senior Center,Senior Center,370,5487,1961,0,7818
Stewart Richland,Richland,13,124,127,3,267
Stewart Louvale,Louvale,2,19,54,1,76
Stewart Lumpkin,Lumpkin,17,187,68,1,273
Stewart Omaha,Omaha,2,10,44,1,57
Sumter Agri-Center,Agri-Center,25,478,217,0,720
Sumter Airport,Airport,24,386,224,2,636
Sumter Andersonville,Andersonville,5,40,164,0,209
Sumter Browns Mill,Browns Mill,10,189,229,0,428
Sumter Concord,Concord,4,70,160,0,234
Sumter JROTC,JROTC,50,575,297,0,922
Sumter Leslie,Leslie,16,318,384,0,718
Sumter Plains,Plains,15,128,208,1,352
Sumter Rec Dept,Rec Dept,22,159,74,0,255
Sumter Rees Park,Rees Park,17,172,64,1,254
Sumter Thompson,Thompson,16,76,101,0,193
Talbot ONeal,ONeal,5,66,107,0,178
Talbot Valley,Valley,11,99,142,0,252
Talbot Junction City,Junction City,3,52,51,0,106
Talbot Geneva,Geneva,8,50,74,0,132
Talbot Talbotton,Talbotton,3,61,41,0,105
Talbot Box Springs,Box Springs,5,25,141,0,171
Talbot Flint Hill,Flint Hill,8,126,136,0,270
Taliaferro Sharon,Sharon,4,28,48,0,80
Taliaferro Crawfordville,Crawfordville,10,145,92,0,247
Tattnall Cobbtown,Cobbtown,13,122,218,0,353
Tattnall Collins,Collins,21,352,308,0,681
Tattnall District II,District II,13,557,252,1,823
Tattnall District IV,District IV,34,649,413,0,1096
Tattnall District V,District V,12,234,322,0,568
Tattnall East Glennville,East Glennville,57,648,435,0,1140
Tattnall Manassas,Manassas,5,74,106,0,185
Tattnall Shiloh,Shiloh,5,173,99,0,277
